emp_no,first_name,last_name,titles
10001,Georgi,Facello,Senior Engineer
10004,Chirstian,Koblick,Senior Engineer
10009,Sumant,Peac,Senior Engineer
10018,Kazuhide,Peha,Senior Engineer
10035,Alain,Chappelet,Senior Engineer
10053,Sanjiv,Zschoche,Senior Staff
10058,Berhard,McFarlin,Senior Staff
10066,Kwee,Schusler,Senior Engineer
10067,Claudi,Stavenow,Senior Engineer
10070,Reuven,Garigliano,Technique Leader
10072,Hironoby,Sidou,Senior Engineer
10076,Erez,Ritzmann,Senior Engineer
10088,Jungsoon,Syrzycki,Senior Staff
10100,Hironobu,Haraldson,Senior Staff
10103,Akemi,Birch,Engineer
10126,Kayoko,Valtorta,Senior Staff
10129,Armond,Peir,Technique Leader
10130,Nishit,Casperson,Senior Engineer
10134,Diederik,Siprelle,Senior Engineer
10138,Perry,Shimshoni,Senior Engineer
10150,Zhenbing,Perng,Senior Engineer
10153,Heekeun,Majewski,Assistant Engineer
10157,Nigel,Aloisi,Senior Engineer
10198,Pranav,Furedi,Senior Engineer
10215,Xiaobin,Duclos,Senior Staff
10224,Leon,Trogemann,Senior Engineer
10233,Lein,Vendrig,Senior Staff
10258,Basil,Ishibashi,Senior Engineer
10272,Yishai,Cannane,Staff
10282,Hercules,Benzmuller,Engineer
10283,Kauko,Birjandi,Senior Engineer
10326,Masali,Czap,Staff
10340,Djelloul,Laventhal,Senior Staff
10347,Pradeep,Kaminger,Staff
10355,Satyanarayana,Cochrane,Staff
10356,Vasilis,Standera,Senior Staff
10364,Nakhoon,Dengi,Senior Engineer
10372,Anneli,Frijda,Technique Leader
10387,Parto,Wrigley,Senior Staff
10396,Sibyl,Rahier,Senior Engineer
10402,Volkmar,Ebeling,Technique Leader
10404,Prodip,Rosti,Senior Engineer
10426,Arunas,Luce,Technique Leader
10429,Martien,Improta,Senior Engineer
10432,Hisao,Tiemann,Senior Staff
10451,Bodh,Ranta,Senior Engineer
10453,Tsvetan,Matzel,Senior Staff
10463,Ung,Zaiane,Staff
10486,Amstein,Kossowski,Senior Engineer
10494,Yakkov,Servieres,Senior Engineer
10504,Xiong,Varker,Staff
10512,Udi,Gihr,Senior Staff
10522,Marke,Cesareni,Senior Staff
10548,Ramalingam,Gunderson,Senior Staff
10564,Jianhao,Thisen,Senior Engineer
10623,Aleksander,Danlos,Senior Engineer
10628,Krisda,Krogh,Senior Engineer
10631,Inderjeet,Chaudhuri,Engineer
10642,Hirochika,Narlikar,Engineer
